"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0E550","2019-07-16 00:00:00","84.000","120.000","0.600","26.700","0.970","998.500","-99.000","0.000","-99.000","-99.000","-99.000","34.200","","25.300",""
"C0AI20","2019-07-16 00:00:00","25.000","160.000","1.400","25.700","0.850","1003.200","-99.000","0.000","-99.000","-99.000","-99.000","31.100","","25.700",""
"C0E740","2019-07-16 00:00:00","27.000","191.000","0.300","27.300","0.960","1003.500","-99.000","0.000","-99.000","-99.000","-99.000","33.200","","25.500",""
"C0R650","2019-07-16 00:00:00","29.000","82.000","0.600","28.900","0.920","1004.300","-99.000","1.000","-99.000","-99.000","-99.000","34.500","","26.800",""
"C0S750","2019-07-16 00:00:00","2280.000","270.000","1.400","13.200","0.930","773.100","-99.000","1.000","-99.000","-99.000","-99.000","24.400","","12.800",""
"C0I370","2019-07-16 00:00:00","671.000","0.000","0.000","25.200","0.900","934.600","-99.000","0.000","-99.000","-99.000","-99.000","32.400","","23.100",""
"C0K400","2019-07-16 00:00:00","65.000","73.000","0.300","28.900","0.970","999.900","-99.000","0.000","-99.000","-99.000","-99.000","34.600","","26.700",""
"C0A650","2019-07-16 00:00:00","287.000","0.000","0.000","23.200","0.990","975.100","-99.000","0.000","-99.000","-99.000","-99.000","32.000","","22.100",""
"C0U750","2019-07-16 00:00:00","398.000","187.000","2.700","24.500","1.000","963.300","-99.000","0.000","-99.000","-99.000","-99.000","28.500","","24.200",""
"C0M730","2019-07-16 00:00:00","40.000","0.000","0.000","29.100","0.880","1001.300","-99.000","0.000","-99.000","-99.000","-99.000","35.100","","26.800",""
"C0Z061","2019-07-16 00:00:00","174.000","140.000","1.000","25.900","0.890","991.000","-99.000","0.000","-99.000","-99.000","-99.000","34.700","","24.500",""
"C0M670","2019-07-16 00:00:00","43.000","176.000","0.500","29.200","0.830","1001.200","-99.000","0.000","-99.000","-99.000","-99.000","34.200","","27.100",""
"C0I530","2019-07-16 00:00:00","3014.000","37.000","4.200","12.000","0.620","702.800","-99.000","0.000","-99.000","-99.000","-99.000","18.900","","10.200",""
"C0A880","2019-07-16 00:00:00","6.000","0.000","0.100","26.500","0.910","1004.100","-99.000","0.000","-99.000","-99.000","-99.000","32.800","","24.100",""
"C0S950","2019-07-16 00:00:00","415.000","218.000","1.500","25.100","0.920","960.500","-99.000","0.000","-99.000","-99.000","-99.000","31.500","","24.100",""
"C0X190","2019-07-16 00:00:00","10.000","228.000","1.000","29.600","0.890","1004.600","-99.000","0.000","-99.000","-99.000","-99.000","32.400","","28.300",""
"C0S760","2019-07-16 00:00:00","1621.000","15.000","1.100","18.300","1.000","837.400","-99.000","0.000","-99.000","-99.000","-99.000","24.600","","17.300",""
"C0O830","2019-07-16 00:00:00","127.000","0.000","0.000","27.400","0.930","992.600","-99.000","0.000","-99.000","-99.000","-99.000","34.300","","25.200",""
"C0A9A0","2019-07-16 00:00:00","24.000","28.000","0.300","29.400","0.690","1003.900","-99.000","0.000","-99.000","-99.000","-99.000","35.000","","27.600",""
"C0AD50","2019-07-16 00:00:00","84.000","0.000","0.000","28.000","1.000","998.000","-99.000","0.000","-99.000","-99.000","-99.000","35.500","","27.000",""
"C0G620","2019-07-16 00:00:00","110.000","263.000","1.800","27.200","0.930","995.300","-99.000","0.000","-99.000","-99.000","-99.000","35.500","","26.100",""
"C0V310","2019-07-16 00:00:00","46.000","66.000","1.200","27.900","0.890","1000.200","-99.000","0.000","-99.000","-99.000","-99.000","35.100","","25.900",""
